task_id,domain,align_len,div_mon_mean_early,div_pla_mean_early,cot_len_hidden,cot_len_mon,cot_len_pla,sent_hidden,sent_mon,sent_pla,hedge_hidden,hedge_mon,hedge_pla,acc_hidden,acc_mon,acc_pla
math_4,math,240,0.0016747713088989258,0.009508252143859863,1130,1054,898,25,24,23,2,1,0,False,False,False
math_7,math,216,0.0038974384466807046,0.005708446105321248,997,788,839,18,20,20,0,0,0,False,False,True
qa_8,qa,193,0.028083960215250652,0.0169891615708669,1147,1125,1271,22,25,20,3,0,4,False,True,False
math_0,math,213,0.009096473455429077,0.009202013413111368,951,975,943,26,23,24,0,0,0,False,False,False
math_2,math,208,0.001988003651301066,0.005619664986928304,689,674,759,17,18,21,1,0,0,False,False,False
qa_4,qa,192,0.0008190671602884928,0.001284460226694743,836,1183,679,21,21,17,0,0,0,False,,
math_3,math,195,0.004693617423375447,0.010625839233398438,837,907,1002,24,21,25,0,1,0,True,False,False
code_5,code,226,0.0030792454878489175,0.003433485825856527,1033,1116,1085,18,17,20,0,3,2,,,
qa_7,qa,264,0.0009421308835347494,0.0010171830654144287,934,802,850,20,17,17,3,0,0,,,True
math_8,math,236,0.0018977522850036621,0.0021967689196268716,888,855,776,21,21,20,2,2,0,False,False,False
code_4,code,241,0.003363062938054403,0.00221403439839681,1039,837,1198,22,12,22,0,0,0,,,
code_3,code,242,0.0017044742902119954,0.0028121074040730796,1168,1012,1204,26,30,27,1,1,1,,,
qa_1,qa,340,0.0009602208932240804,0.0010573267936706543,1187,1238,1263,30,28,32,0,0,0,,,
code_6,code,238,0.0035807589689890542,0.0028263727823893228,1087,977,1137,25,25,19,0,1,0,,,
math_1,math,181,0.010684996843338013,0.008896668752034506,953,964,896,24,22,22,0,1,0,True,False,True
qa_9,qa,252,0.0008974273999532064,0.0010112921396891277,1078,1114,1117,22,17,20,0,0,0,,True,
math_6,math,199,0.006576051314671834,0.0024454196294148764,959,776,879,24,23,19,1,0,0,False,False,False
qa_0,qa,248,0.0005561709403991699,0.0010040303071339924,450,1209,797,17,28,21,0,2,0,False,,True
math_9,math,210,0.0038595994313557944,0.008368313312530518,844,876,1011,16,22,21,0,0,2,False,True,False
qa_6,qa,267,0.006224006414413452,0.00755921999613444,975,921,952,30,29,26,1,2,2,,,
code_2,code,222,0.003493646780649821,0.011526614427566528,960,1025,854,20,27,19,2,0,0,,,
code_0,code,245,0.0013704995314280193,0.0015306274096171062,1248,1235,1242,20,23,18,1,1,1,,,
math_5,math,207,0.02027006944020589,0.011760095755259195,838,695,577,23,24,13,1,0,2,False,False,False
qa_3,qa,198,0.0006309052308400472,0.001290758450826009,890,950,745,13,15,14,0,0,0,True,True,True
qa_5,qa,191,0.0037717620531717935,0.004638453324635823,1084,716,1231,21,19,17,0,0,0,,True,True
code_8,code,238,0.0019284685452779133,0.0018988351027170818,1171,1045,915,18,20,16,2,1,0,,,
code_1,code,240,0.003352870543797811,0.004000018040339152,1187,1230,1245,20,20,21,2,0,0,,,
qa_2,qa,112,0.0012648006280263264,0.0022380053997039795,1137,1155,354,27,28,11,1,2,0,,,True
code_7,code,226,0.0019382139046986897,0.003705441951751709,1152,1157,1193,24,20,26,0,0,2,,,
code_9,code,231,0.0005377729733784994,0.0025198360284169516,863,830,870,19,17,20,0,0,1,,,
