task_id,domain,lambda,early_auc
math_15,math,0.5,0.005433022975921631
math_15,math,1.0,0.021498382091522217
math_15,math,1.5,0.03800255060195923
qa_14,qa,0.5,0.006708920001983643
qa_14,qa,1.0,0.0290338397026062
qa_14,qa,1.5,0.05466151237487793
code_13,code,0.5,0.004564344882965088
code_13,code,1.0,0.019439637660980225
code_13,code,1.5,0.0356561541557312
math_13,math,0.5,0.004313409328460693
math_13,math,1.0,0.01855844259262085
math_13,math,1.5,0.0342559814453125
code_1,code,0.5,0.004175901412963867
code_1,code,1.0,0.017693758010864258
code_1,code,1.5,0.03263556957244873
code_10,code,0.5,0.0036693215370178223
code_10,code,1.0,0.016665637493133545
code_10,code,1.5,0.030812740325927734
math_5,math,0.5,0.004253804683685303
math_5,math,1.0,0.017832815647125244
math_5,math,1.5,0.03247976303100586
math_0,math,0.5,0.004684150218963623
math_0,math,1.0,0.01978623867034912
math_0,math,1.5,0.03615683317184448
math_16,math,0.5,0.004831075668334961
math_16,math,1.0,0.019655883312225342
math_16,math,1.5,0.03525209426879883
qa_18,qa,0.5,0.005252659320831299
qa_18,qa,1.0,0.02286374568939209
qa_18,qa,1.5,0.04222744703292847
qa_6,qa,0.5,0.004711627960205078
qa_6,qa,1.0,0.018834829330444336
qa_6,qa,1.5,0.03346508741378784
code_17,code,0.5,0.0036106109619140625
code_17,code,1.0,0.016657590866088867
code_17,code,1.5,0.03095799684524536
code_11,code,0.5,0.004322648048400879
code_11,code,1.0,0.01811838150024414
code_11,code,1.5,0.03283953666687012
math_10,math,0.5,0.0046849846839904785
math_10,math,1.0,0.019107699394226074
math_10,math,1.5,0.03445392847061157
code_18,code,0.5,0.0039400458335876465
code_18,code,1.0,0.017521321773529053
code_18,code,1.5,0.032514333724975586
qa_4,qa,0.5,0.0064427852630615234
qa_4,qa,1.0,0.026953816413879395
qa_4,qa,1.5,0.048777759075164795
qa_1,qa,0.5,0.006169319152832031
qa_1,qa,1.0,0.022466599941253662
qa_1,qa,1.5,0.037333548069000244
math_14,math,0.5,0.004890024662017822
math_14,math,1.0,0.020420968532562256
math_14,math,1.5,0.03687942028045654
qa_11,qa,0.5,0.006046772003173828
qa_11,qa,1.0,0.02607959508895874
qa_11,qa,1.5,0.04829275608062744
code_15,code,0.5,0.004193127155303955
code_15,code,1.0,0.01827383041381836
code_15,code,1.5,0.0336989164352417
qa_17,qa,0.5,0.005186736583709717
qa_17,qa,1.0,0.02252817153930664
qa_17,qa,1.5,0.04171907901763916
math_12,math,0.5,0.005220592021942139
math_12,math,1.0,0.02059006690979004
math_12,math,1.5,0.03640013933181763
code_16,code,0.5,0.003833472728729248
code_16,code,1.0,0.01734006404876709
code_16,code,1.5,0.03259384632110596
math_4,math,0.5,0.005146801471710205
math_4,math,1.0,0.019923686981201172
math_4,math,1.5,0.035501062870025635
qa_8,qa,0.5,0.0058296918869018555
qa_8,qa,1.0,0.024334609508514404
qa_8,qa,1.5,0.044281065464019775
math_7,math,0.5,0.005602598190307617
math_7,math,1.0,0.022235333919525146
math_7,math,1.5,0.039332568645477295
code_12,code,0.5,0.00370180606842041
code_12,code,1.0,0.016790688037872314
code_12,code,1.5,0.0315556526184082
qa_9,qa,0.5,0.0071833133697509766
qa_9,qa,1.0,0.02678316831588745
qa_9,qa,1.5,0.046411216259002686
qa_12,qa,0.5,0.005093693733215332
qa_12,qa,1.0,0.021586179733276367
qa_12,qa,1.5,0.03880351781845093
math_3,math,0.5,0.004552006721496582
math_3,math,1.0,0.018651306629180908
math_3,math,1.5,0.03339576721191406
qa_15,qa,0.5,0.0055925846099853516
qa_15,qa,1.0,0.02448350191116333
qa_15,qa,1.5,0.04530137777328491
code_14,code,0.5,0.004238307476043701
code_14,code,1.0,0.01836293935775757
code_14,code,1.5,0.0337526798248291
qa_2,qa,0.5,0.005114734172821045
qa_2,qa,1.0,0.021207213401794434
qa_2,qa,1.5,0.03840148448944092
math_17,math,0.5,0.004919111728668213
math_17,math,1.0,0.02044689655303955
math_17,math,1.5,0.03682619333267212
math_19,math,0.5,0.0049172043800354
math_19,math,1.0,0.02007114887237549
math_19,math,1.5,0.036074936389923096
qa_5,qa,0.5,0.005935370922088623
qa_5,qa,1.0,0.02610158920288086
qa_5,qa,1.5,0.049607932567596436
qa_3,qa,0.5,0.006107747554779053
qa_3,qa,1.0,0.02649444341659546
qa_3,qa,1.5,0.04910075664520264
math_11,math,0.5,0.004600644111633301
math_11,math,1.0,0.019523441791534424
math_11,math,1.5,0.03563499450683594
math_2,math,0.5,0.004803836345672607
math_2,math,1.0,0.020363807678222656
math_2,math,1.5,0.03714144229888916
code_2,code,0.5,0.004849910736083984
code_2,code,1.0,0.020066916942596436
code_2,code,1.5,0.03617507219314575
qa_7,qa,0.5,0.005351722240447998
qa_7,qa,1.0,0.021976351737976074
qa_7,qa,1.5,0.039071500301361084
code_9,code,0.5,0.004455506801605225
code_9,code,1.0,0.01843440532684326
code_9,code,1.5,0.03333938121795654
code_7,code,0.5,0.003841578960418701
code_7,code,1.0,0.017308831214904785
code_7,code,1.5,0.03248494863510132
math_1,math,0.5,0.004484295845031738
math_1,math,1.0,0.018510162830352783
math_1,math,1.5,0.033446431159973145
code_4,code,0.5,0.003782033920288086
code_4,code,1.0,0.01682800054550171
code_4,code,1.5,0.031677424907684326
qa_19,qa,0.5,0.006538569927215576
qa_19,qa,1.0,0.027790546417236328
qa_19,qa,1.5,0.052004456520080566
qa_13,qa,0.5,0.006566524505615234
qa_13,qa,1.0,0.027613043785095215
qa_13,qa,1.5,0.05045586824417114
math_6,math,0.5,0.004582583904266357
math_6,math,1.0,0.018772780895233154
math_6,math,1.5,0.03410804271697998
math_9,math,0.5,0.004373311996459961
math_9,math,1.0,0.018621385097503662
math_9,math,1.5,0.03407925367355347
math_8,math,0.5,0.005027055740356445
math_8,math,1.0,0.020006299018859863
math_8,math,1.5,0.03578609228134155
code_0,code,0.5,0.0038424134254455566
code_0,code,1.0,0.016850590705871582
code_0,code,1.5,0.031358540058135986
math_18,math,0.5,0.004279494285583496
math_18,math,1.0,0.018016815185546875
math_18,math,1.5,0.03304100036621094
qa_10,qa,0.5,0.006209433078765869
qa_10,qa,1.0,0.024692296981811523
qa_10,qa,1.5,0.043014466762542725
code_6,code,0.5,0.0039025545120239258
code_6,code,1.0,0.01727604866027832
code_6,code,1.5,0.0324748158454895
qa_16,qa,0.5,0.0055397748947143555
qa_16,qa,1.0,0.023299574851989746
qa_16,qa,1.5,0.041651785373687744
code_5,code,0.5,0.0036046504974365234
code_5,code,1.0,0.01646888256072998
code_5,code,1.5,0.03108799457550049
code_19,code,0.5,0.0037519335746765137
code_19,code,1.0,0.01693141460418701
code_19,code,1.5,0.03163611888885498
qa_0,qa,0.5,0.0073891282081604
qa_0,qa,1.0,0.028867065906524658
qa_0,qa,1.5,0.0508083701133728
code_8,code,0.5,0.003735959529876709
code_8,code,1.0,0.01607060432434082
code_8,code,1.5,0.02969205379486084
code_3,code,0.5,0.003989040851593018
code_3,code,1.0,0.017433226108551025
code_3,code,1.5,0.03246510028839111
